appid;name;release_date;developer;publisher;platforms;categories;genres;positive_ratings;negative_ratings;average_playtime;median_playtime;owners;min_owners;max_owners;price
17440;SPORE™ Creepy & Cute Parts Pack;19/12/2008;Maxis™;Electronic Arts;windows;Single-player;Simulation;481;100;171;240;500000-1000000;500000;1000000;9.99
17450;Dragon Age: Origins;05/11/2009;BioWare;Electronic Arts;windows;Single-player;RPG;6207;468;2061;2889;500000-1000000;500000;1000000;14.99
17460;Mass Effect;19/12/2008;BioWare;Electronic Arts;windows;Single-player;"Action;RPG";10107;666;612;633;1000000-2000000;1000000;2000000;7.99
17470;Dead Space;09/01/2009;EA Redwood Shores;Electronic Arts;windows;"Single-player;Full controller support";Action;9136;1049;295;178;2000000-5000000;2000000;5000000;14.99
17480;Command & Conquer: Red Alert 3;08/01/2009;EA Los Angeles;Electronic Arts;windows;Single-player;Strategy;4390;855;575;395;500000-1000000;500000;1000000;9.99
17500;Zombie Panic! Source;03/10/2008;Zombie Panic Team;Zombie Panic Team;"windows;linux";"Multi-player;Co-op;Mods;Mods (require HL2);Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor;Includes Source SDK";"Action;Free to Play;Indie";5267;914;948;86;500000-1000000;500000;1000000;0.0
17570;Pirates, Vikings, and Knights II;12/02/2010;Octoshark Studios;Octoshark Studios;"windows;mac;linux";"Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Mods;Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor;Includes Source SDK";"Action;Free to Play;Indie";3839;582;117;197;500000-1000000;500000;1000000;0.0
17710;Nuclear Dawn;26/09/2011;"GameConnect;InterWave Studios";Iceberg Interactive;"windows;mac;linux";"Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor";"Action;Strategy";1675;441;971;1184;200000-500000;200000;500000;6.99
17740;Empires Mod;28/07/2008;Empires;Empires;"windows;linux";"Multi-player;Cross-Platform Multiplayer;Steam Cloud;Includes level editor;Includes Source SDK";"Action;Free to Play;Strategy";663;115;701;1378;100000-200000;100000;200000;0.0
18000;Precipice of Darkness, Episode One;21/05/2008;Hothead Games;Hothead Games;windows;"Single-player;Steam Achievements";"Adventure;RPG";394;42;7;7;200000-500000;200000;500000;5.99
18020;Precipice of Darkness, Episode Two;07/11/2008;Hothead Games;Hothead Games;windows;"Single-player;Steam Achievements";"Adventure;RPG";118;23;0;0;200000-500000;200000;500000;5.99
18040;DeathSpank;25/10/2010;Hothead Games;Electronic Arts;"windows;mac";"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards";"Action;Indie;RPG";540;34;1008;1008;100000-200000;100000;200000;7.99
18050;DeathSpank: Thongs of Virtue;30/11/2010;Hothead Games;Electronic Arts;"windows;mac";"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards";"Action;RPG;Indie";125;18;0;0;50000-100000;50000;100000;7.99
18070;The Baconing;31/08/2011;Hothead Games;Hothead Games;"windows;mac";"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards";"Action;Adventure;RPG";149;37;14;14;100000-200000;100000;200000;9.99
18120;Unstoppable Gorg;19/01/2012;Futuremark;Futuremark;"windows;mac";"Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards";"Action;Casual;Indie;Strategy";190;48;37;37;50000-100000;50000;100000;6.99
18300;Spectraball;20/10/2008;Shorebound Studios;Shorebound Studios;"windows;mac;linux";"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support";"Casual;Indie";297;101;126;126;50000-100000;50000;100000;3.99
18400;Crazy Machines 2;20/06/2008;Fakt Software;Viva Media;windows;"Single-player;Steam Trading Cards";"Casual;Strategy";97;108;66;66;100000-200000;100000;200000;7.19
18420;Crazy Machines;12/12/2008;Fakt Software;Viva Media;windows;Single-player;"Casual;Strategy";98;24;0;0;50000-100000;50000;100000;6.99
18470;Helldorado;30/04/2009;Spellbound;"Black Forest Games;THQ Nordic";windows;Single-player;Strategy;53;23;0;0;20000-50000;20000;50000;6.99
18480;Mata Hari;29/07/2009;4Head Studios;Viva Media;windows;Single-player;Adventure;53;37;1;1;20000-50000;20000;50000;3.99
18500;Defense Grid: The Awakening;08/12/2008;Hidden Path Entertainment;Hidden Path Entertainment;windows;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards";"Indie;Strategy";3307;113;455;686;500000-1000000;500000;1000000;6.99
18600;Mayhem Intergalactic;22/01/2009;Inventive Dingo;Inventive Dingo;windows;"Single-player;Multi-player;Steam Achievements";"Indie;Strategy";12;10;0;0;0-20000;0;20000;6.99
18700;And Yet It Moves;02/04/2009;Broken Rules;Broken Rules;"windows;mac;linux";"Single-player;Steam Achievements;Partial Controller Support";"Action;Indie";735;327;17;22;200000-500000;200000;500000;6.99
18820;Zero Gear;12/01/2010;Brian Cronin;Brian Cronin;windows;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats";"Action;Indie;Racing;Sports";652;173;373;373;100000-200000;100000;200000;3.99
19000;Silent Hill Homecoming;02/03/2009;Double Helix Games;"Konami Digital Entertainment, Inc.;Konami Digital Entertainement GmbH";windows;Single-player;Adventure;480;437;58;73;100000-200000;100000;200000;17.99
19020;Puzzle Chronicles;25/06/2010;Infinite Interactive;"Konami Digital Entertainment, Inc.;Konami Digital Entertainment GmbH";windows;"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud";"Casual;RPG";16;8;0;0;0-20000;0;20000;7.99
19030;Rocket Knight;25/06/2010;Climax Studios;"Konami Digital Entertainment, Inc.;Konami Digital Entertainment GmbH";windows;"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards";"Action;Adventure";70;22;0;0;0-20000;0;20000;11.99
19080;Biozone;25/06/2010;G5 Entertainment;"Konami Digital Entertainment, Inc.;Konami Digital Entertainment GmbH";windows;Single-player;"Action;Adventure;Casual";1;13;0;0;0-20000;0;20000;7.99
19200;Tank Universal;21/08/2008;Dialogue Design;Meridian4;windows;"Single-player;Steam Achievements";"Action;Indie";226;190;39;63;100000-200000;100000;200000;3.99
19320;Space Ark;16/03/2012;Strawdog Studios Ltd;Bounce Entertainment ;windows;"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards";"Action;Indie;Casual";6;8;0;0;0-20000;0;20000;3.99
19500;Eternity's Child;31/07/2008;"Luc Bernard;SilverSphereStudios";Silver Sphere Studios;windows;"Single-player;Steam Achievements;Partial Controller Support;Includes level editor";"Adventure;Indie";16;47;9;9;0-20000;0;20000;2.99
19800;Brothers in Arms: Earned in Blood™;10/10/2008;Gearbox Software;Ubisoft;windows;Single-player;Action;303;53;164;164;100000-200000;100000;200000;4.29
19830;Tom Clancy's Rainbow Six® 3 Gold;25/09/2008;"Red Storm Entertainment;Ubisoft Montreal";Ubisoft;windows;Single-player;Action;811;71;43;61;100000-200000;100000;200000;4.29
19900;Far Cry® 2: Fortune's Edition;22/10/2008;Ubisoft Montreal;Ubisoft;windows;"Single-player;Multi-player";Action;5292;1739;257;229;1000000-2000000;1000000;2000000;8.59
19980;Prince of Persia®;10/12/2008;Ubisoft Montreal;Ubisoft;windows;Single-player;"Action;Adventure";948;266;305;399;200000-500000;200000;500000;8.59
20200;Galactic Bowling;21/10/2008;Perpetual FX Creative;Perpetual FX Creative;windows;"Single-player;Multi-player;Steam Achievements;Partial Controller Support";"Indie;Casual;Sports";6;10;0;0;0-20000;0;20000;13.99
20510;S.T.A.L.K.E.R.: Clear Sky;15/09/2008;GSC Game World;GSC World Publishing;windows;"Single-player;Multi-player";"Action;RPG";5550;903;716;779;500000-1000000;500000;1000000;7.99
20530;Red Faction;05/08/2009;Volition, Inc.;THQ Nordic;windows;"Single-player;Multi-player;Steam Cloud";Action;1327;151;79;107;500000-1000000;500000;1000000;4.99
20540;Company of Heroes: Tales of Valor;08/04/2009;Relic Entertainment;SEGA;windows;"Single-player;Multi-player;Steam Cloud";Strategy;1337;101;226;133;2000000-5000000;2000000;5000000;9.99
20550;Red Faction II;06/08/2009;Volition, Inc.;THQ Nordic;windows;"Single-player;Steam Cloud";"Action;Strategy";354;313;0;0;500000-1000000;500000;1000000;4.99
20570;Warhammer® 40,000: Dawn of War® II Chaos Rising;11/03/2010;"Relic Entertainment;Feral Interactive (Mac/Linux)";"SEGA;Feral Interactive (Mac/Linux)";"windows;mac;linux";"Single-player;Multi-player;Co-op;Steam Cloud";Strategy;1645;164;186;249;1000000-2000000;1000000;2000000;14.99
20700;Starscape;03/11/2008;Moonpod;Moonpod;windows;"Single-player;Steam Achievements";"Action;Indie;Strategy";50;15;12;12;0-20000;0;20000;5.99
20710;Mr. Robot;03/11/2008;Moonpod;Moonpod;windows;"Single-player;Steam Achievements";"Action;Indie;Strategy";55;12;14;14;20000-50000;20000;50000;5.99
20820;Shatter;15/03/2010;Sidhe;PikPok;"windows;mac;linux";"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards";"Action;Indie";963;64;31;51;200000-500000;200000;500000;6.99
20900;The Witcher: Enhanced Edition Director's Cut;16/09/2008;CD PROJEKT RED;"CD PROJEKT RED;1C-SoftClub";"windows;mac";"Single-player;Steam Cloud";"Action;RPG";26380;4217;773;335;2000000-5000000;2000000;5000000;6.99
20920;The Witcher 2: Assassins of Kings Enhanced Edition;16/04/2012;CD PROJEKT RED;"CD PROJEKT RED;1C-SoftClub";"windows;mac;linux";"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards";RPG;36427;4710;838;320;2000000-5000000;2000000;5000000;14.99
21000;LEGO® Batman™: The Videogame;29/09/2008;Traveller's Tales;Warner Bros. Interactive Entertainment;windows;"Single-player;Shared/Split Screen;Full controller support";"Action;Adventure";1050;242;490;716;200000-500000;200000;500000;14.99
21010;Watchmen: The End is Nigh;04/03/2009;Deadline Games;Warner Bros. Interactive Entertainment;windows;"Single-player;Multi-player;Shared/Split Screen";Action;227;120;0;0;20000-50000;20000;50000;3.99
21030;Watchmen: The End is Nigh Part 2;29/07/2009;Deadline Games  ;Warner Bros. Interactive Entertainment;windows;"Single-player;Co-op;Partial Controller Support";Action;97;51;0;0;20000-50000;20000;50000;3.99
21090;F.E.A.R.;21/05/2010;"Monolith Productions, Inc.;Timegate";Warner Bros. Interactive Entertainment;windows;Single-player;Action;6371;438;389;498;1000000-2000000;1000000;2000000;35.96
21100;F.E.A.R. 3;21/06/2011;Day 1 Studios;Warner Bros. Interactive Entertainment;windows;"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards";Action;5349;2030;310;298;1000000-2000000;1000000;2000000;12.99
21130;LEGO® Harry Potter: Years 1-4;25/06/2010;TT Games;Warner Bros. Interactive Entertainment;windows;"Single-player;Shared/Split Screen;Full controller support";"Action;Adventure";1672;460;518;989;200000-500000;200000;500000;9.99
21300;Gravitron 2;30/09/2008;Dark Castle Software;Dark Castle Software;windows;"Single-player;Steam Achievements";"Indie;Casual";19;8;0;0;0-20000;0;20000;2.99
21400;Project Aftermath;03/10/2008;Games Faction;Games Faction;windows;"Single-player;Steam Achievements";"Strategy;Action;Indie";10;5;0;0;0-20000;0;20000;4.79
21500;Pyroblazer®;13/11/2008;Eipix;Candella Systems Ltd;windows;Single-player;Racing;5;3;0;0;0-20000;0;20000;4.99
21640;Flock!;07/04/2009;Proper Games;Capcom;windows;"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support";"Casual;Strategy";110;34;0;0;20000-50000;20000;50000;3.49
21660;Street Fighter® IV;07/07/2009;Capcom;Capcom;windows;"Single-player;Multi-player;Partial Controller Support";Action;295;126;0;0;100000-200000;100000;200000;13.99
21670;Bionic Commando;28/07/2009;Capcom;Capcom;windows;"Single-player;Multi-player;Partial Controller Support;Steam Cloud";"Action;Adventure";649;247;20;30;200000-500000;200000;500000;6.49
21680;Bionic Commando: Rearmed;28/07/2009;Capcom;Capcom;windows;"Single-player;Shared/Split Screen;Partial Controller Support";Action;453;287;15;16;200000-500000;200000;500000;6.49
21690;Resident Evil™ 5/ Biohazard 5®;15/09/2009;Capcom;Capcom;windows;"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards";"Action;Adventure";9250;1618;868;532;1000000-2000000;1000000;2000000;13.99
21780;Driver® Parallel Lines;13/02/2009;Ubisoft Reflections;Ubisoft;windows;Single-player;Racing;367;46;0;0;20000-50000;20000;50000;8.59
21800;Tom Clancy's EndWar™;25/02/2009;Ubisoft  Shanghaï;Ubisoft;windows;"Single-player;Multi-player";Strategy;276;108;384;655;100000-200000;100000;200000;8.59
21980;Call of Juarez®: Bound in Blood;02/07/2009;Techland;Ubisoft;windows;Single-player;Action;1121;232;13;13;200000-500000;200000;500000;8.59
22000;World of Goo;13/10/2008;2D BOY;2D BOY ;"windows;mac;linux";"Single-player;Steam Achievements";Indie;3455;237;194;277;1000000-2000000;1000000;2000000;6.99
22100;Mount & Blade;03/11/2008;TaleWorlds Entertainment;TaleWorlds Entertainment;windows;"Single-player;Steam Trading Cards;Includes level editor";"Indie;RPG";3205;291;415;597;1000000-2000000;1000000;2000000;7.99
22120;Penumbra: Black Plague Gold Edition;23/01/2009;Frictional Games;Frictional Games;"windows;mac;linux";"Single-player;Captions available";"Nudity;Gore;Action;Adventure;Indie";1396;79;188;189;200000-500000;200000;500000;0.0
22130;Hearts of Iron 2 Complete;23/01/2009;Paradox Development Studio;Paradox Interactive;windows;"Single-player;Multi-player";Strategy;220;48;0;0;50000-100000;50000;100000;9.99
22180;Penumbra Overture;06/03/2009;Frictional Games;Frictional Games;"windows;mac;linux";"Single-player;Captions available";"Gore;Action;Adventure;Indie";1660;164;37;43;500000-1000000;500000;1000000;0.0
22200;Zeno Clash;21/04/2009;ACE Team;ACE Team;windows;"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud";"Action;Indie";1980;356;307;307;200000-500000;200000;500000;6.99
22230;Rock of Ages;07/09/2011;ACE Team;SEGA;windows;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards";"Action;Indie;Racing;Strategy";2604;244;235;231;200000-500000;200000;500000;6.99
22300;Fallout 3;28/10/2008;Bethesda Game Studios;Bethesda Softworks;windows;"Single-player;Partial Controller Support";RPG;9921;2709;588;617;500000-1000000;500000;1000000;7.99
22310;Rogue Warrior;01/12/2009;Rebellion;Bethesda Softworks;windows;"Single-player;Multi-player;Steam Achievements;Steam Cloud;Steam Leaderboards";Action;466;240;29;29;50000-100000;50000;100000;3.99
22320;The Elder Scrolls III: Morrowind® Game of the Year Edition;16/06/2009;Bethesda Game Studios;Bethesda Softworks;windows;"Single-player;Steam Cloud";RPG;9571;540;1135;1183;1000000-2000000;1000000;2000000;12.99
22330;The Elder Scrolls IV: Oblivion® Game of the Year Edition;16/06/2009;Bethesda Game Studios;Bethesda Softworks;windows;"Single-player;Steam Cloud";RPG;13827;826;1307;630;1000000-2000000;1000000;2000000;12.99
22350;BRINK;09/05/2011;Splash Damage;Bethesda Softworks;windows;"Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Steam Leaderboards";"Action;Free to Play";3493;2331;181;99;1000000-2000000;1000000;2000000;0.0
22370;Fallout 3: Game of the Year Edition;17/12/2009;Bethesda Game Studios;Bethesda Softworks;windows;Single-player;RPG;17742;4495;1242;1076;2000000-5000000;2000000;5000000;14.99
22380;Fallout: New Vegas;21/10/2010;Obsidian Entertainment;Bethesda Softworks;windows;"Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards";"Action;RPG";66756;3149;2485;1431;2000000-5000000;2000000;5000000;7.99
22450;Hunted: The Demon’s Forge™;02/06/2011;inXile Entertainment;Bethesda Softworks;windows;"Partial Controller Support;Steam Cloud";"Action;Adventure";498;213;28;28;100000-200000;100000;200000;3.99
22500;Spectromancer;11/02/2009;"Apus Software;Three Donkeys LLC";Three Donkeys LLC;windows;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements";Strategy;125;19;0;0;20000-50000;20000;50000;5.99
22600;Worms Reloaded;26/08/2010;Team17 Digital Ltd;Team17 Digital Ltd;"windows;mac;linux";"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards";Strategy;2478;430;327;420;500000-1000000;500000;1000000;14.99
22610;Alien Breed: Impact;03/06/2010;Team17 Software Ltd. ;Team17 Digital Ltd;windows;"Single-player;Co-op;Steam Achievements;Partial Controller Support";Action;776;307;7;7;200000-500000;200000;500000;6.99
22650;Alien Breed 2: Assault;22/09/2010;Team17 Digital Ltd;Team17 Digital Ltd;windows;"Single-player;Co-op;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards";Action;478;226;96;96;200000-500000;200000;500000;6.99
22670;Alien Breed 3: Descent;17/11/2010;Team17 Digital Ltd;Team17 Digital Ltd;windows;"Single-player;Co-op;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards";Action;242;90;1;1;200000-500000;200000;500000;6.99
23150;Fluttabyes;20/04/2010;Red Chain Games Ltd.;Red Chain Games Ltd.;windows;"Single-player;Steam Achievements";"Casual;Indie";13;5;0;0;0-20000;0;20000;1.59
23300;Yosumin!™;26/05/2009;Square Enix;Square Enix;windows;Single-player;Casual;102;64;0;0;100000-200000;100000;200000;3.99
23380;Gyromancer;18/11/2009;"Square Enix;PopCap Games, Inc.";Square Enix;windows;Single-player;RPG;124;113;73;73;100000-200000;100000;200000;3.99
23400;Imperium Romanum Gold Edition;25/11/2008;Haemimont Games;Kalypso Media Digital;windows;Single-player;"Simulation;Strategy";191;45;102;102;100000-200000;100000;200000;7.99
23420;Europa Universalis: Rome - Gold Edition ;18/12/2008;Paradox Development Studio;Paradox Interactive;windows;"Single-player;Multi-player;Co-op";Strategy;123;52;4975;4975;50000-100000;50000;100000;7.99
23450;Grand Ages: Rome;05/03/2009;Haemimont Games;Kalypso Media Digital;windows;Single-player;"Simulation;Strategy";354;138;319;319;200000-500000;200000;500000;6.99
23460;Ceville;27/02/2009;Realmforge Studios;Assemble Entertainment;windows;Single-player;"Action;Adventure;Strategy";83;19;0;0;20000-50000;20000;50000;4.79
23490;Tropico 3;13/11/2009;Haemimont Games;Kalypso Media Digital;windows;Single-player;"Simulation;Strategy";1338;176;291;425;1000000-2000000;1000000;2000000;7.99
23500;Puzzle Quest: Galactrix;24/02/2009;Infinite Interactive;D3Publisher of America, Inc.;windows;"Multi-player;Steam Cloud";"Casual;RPG";120;136;0;0;20000-50000;20000;50000;6.99
23530;Earth Defense Force: Insect Armageddon;14/12/2011;Vicious Cycle Software, Inc.;D3Publisher of America, Inc.;windows;"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Stats";Action;731;95;253;380;50000-100000;50000;100000;6.99
23600;Depths of Peril;23/11/2010;Soldak Entertainment;Soldak Entertainment;"windows;mac;linux";Single-player;"Indie;RPG;Strategy";69;24;0;0;20000-50000;20000;50000;6.99
23700;Puzzle Kingdoms;27/04/2009;Infinite Interactive;Strategy First;windows;"Multi-player;Steam Cloud";Casual;139;102;175;175;100000-200000;100000;200000;10.99
24010;Train Simulator 2019;17/09/2015;Dovetail Games;Dovetail Games - Trains;windows;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Steam Cloud;Steam Leaderboards";Simulation;8573;5336;287;385;1000000-2000000;1000000;2000000;34.99
24200;DC Universe™ Online;02/11/2011;Daybreak Game Company;Daybreak Game Company;windows;"Multi-player;MMO;Steam Achievements;Full controller support";"Action;Adventure;Free to Play;Massively Multiplayer;RPG";10138;2654;2990;3851;2000000-5000000;2000000;5000000;0.0
24240;PAYDAY™ The Heist;20/10/2011;OVERKILL Software;Daybreak Game Company;windows;"Single-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats";Action;34645;2533;444;248;2000000-5000000;2000000;5000000;10.99
24400;King Arthur - The Role-playing Wargame;24/11/2009;NeocoreGames;Paradox Interactive;windows;"Single-player;Multi-player";"RPG;Strategy";307;113;6;6;200000-500000;200000;500000;7.99
24410;Crusaders: Thy Kingdom Come;08/10/2009;NeocoreGames;Paradox Interactive;windows;"Single-player;Multi-player";Strategy;13;11;0;0;20000-50000;20000;50000;6.99
24420;Aquaria;15/12/2008;Bit Blot, LLC;Bit Blot, LLC;"windows;linux";"Single-player;Steam Achievements;Partial Controller Support";Indie;1008;133;48;64;200000-500000;200000;500000;6.99
24460;King Arthur: Fallen Champions;16/09/2011;NeocoreGames;Paradox Interactive;windows;Single-player;"RPG;Strategy";13;20;13;13;50000-100000;50000;100000;3.99
24480;King Arthur II: The Role-Playing Wargame;27/01/2012;NeocoreGames;Paradox Interactive;windows;"Single-player;Steam Achievements";"RPG;Strategy";188;169;46;46;100000-200000;100000;200000;7.99
24640;Trainz: Classic Cabon City;01/09/2010;N3V Games;N3V Games;windows;Single-player;Simulation;14;29;0;0;20000-50000;20000;50000;14.99
24650;Trainz Settle and Carlisle;01/10/2010;N3V Games;N3V Games;windows;Single-player;Simulation;13;17;0;0;20000-50000;20000;50000;14.99
24670;Trainz™ Simulator 12;08/06/2011;N3V Games;N3V Games;windows;"Single-player;Multi-player;Steam Achievements;Stats;Steam Leaderboards";Simulation;498;364;31;31;100000-200000;100000;200000;7.19
24720;SPORE™ Galactic Adventures;26/06/2009;EA - Maxis;Electronic Arts;windows;Single-player;"Action;Simulation";1943;453;1905;2286;500000-1000000;500000;1000000;9.99
24740;Burnout Paradise: The Ultimate Box;12/03/2009;Criterion Games;Electronic Arts;windows;"Single-player;Multi-player";Racing;9739;1487;431;576;1000000-2000000;1000000;2000000;9.99
24780;SimCity™ 4 Deluxe Edition;20/07/2010;"EA - Maxis;Aspyr (Mac)";"Electronic Arts;Aspyr (Mac)";"windows;mac";Single-player;"Simulation;Strategy";3110;959;228;289;1000000-2000000;1000000;2000000;9.99
24790;Command & Conquer 3: Tiberium Wars;13/11/2009;EA Los Angeles;Electronic Arts;windows;Single-player;Strategy;2292;295;646;693;500000-1000000;500000;1000000;9.99
24800;Command & Conquer: Red Alert 3 - Uprising;06/10/2009;EA Los Angeles;Electronic Arts;windows;Single-player;Strategy;1449;362;136;205;1000000-2000000;1000000;2000000;9.99
24810;Command & Conquer 3: Kane's Wrath;13/11/2009;EA Los Angeles;Electronic Arts;windows;"Single-player;Multi-player";Strategy;1070;76;0;0;200000-500000;200000;500000;9.99
24840;Medal of Honor: Airborne;06/10/2009;EA Los Angeles;Electronic Arts;windows;"Single-player;Multi-player";Action;1725;461;28;28;200000-500000;200000;500000;9.99
24870;Need for Speed: Shift;06/10/2009;Slightly Mad Studios;Electronic Arts;windows;"Single-player;Multi-player";Racing;1101;415;339;456;200000-500000;200000;500000;9.99
24960;Battlefield: Bad Company™ 2;02/03/2010;DICE;Electronic Arts;windows;"Single-player;Multi-player";Action;23093;3877;1200;671;2000000-5000000;2000000;5000000;14.99
24980;Mass Effect 2;28/01/2010;BioWare;Electronic Arts;windows;Single-player;RPG;10675;542;1087;736;1000000-2000000;1000000;2000000;19.99
25000;Overgrowth;16/10/2017;Wolfire Games;Wolfire Games;"windows;mac;linux";"Single-player;Partial Controller Support;Includes level editor";"Action;Indie";3200;1315;777;1365;500000-1000000;500000;1000000;22.99
25010;Lugaru HD;08/10/2010;Wolfire Games;Wolfire Games;"windows;mac;linux";Single-player;Action;321;98;13;13;100000-200000;100000;200000;7.99
25500;Cricket Revolution;28/10/2009;Mindstorm Studios;Mindstorm Studios;windows;"Single-player;Multi-player";"Indie;Simulation;Sports";63;50;0;0;20000-50000;20000;50000;1.99
25600;Eschalon: Book I;10/02/2009;Basilisk Games;Basilisk Games;"windows;mac;linux";Single-player;"Indie;RPG";167;25;0;0;50000-100000;50000;100000;0.0
25620;Eschalon: Book II;12/07/2010;Basilisk Games;Basilisk Games;"windows;mac;linux";Single-player;"Indie;RPG";58;12;0;0;20000-50000;20000;50000;4.79
25700;Madballs in Babo:Invasion ;17/09/2009;Playbrains;Playbrains;"windows;mac";"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards";Indie;198;38;54;54;50000-100000;50000;100000;3.99
25800;Europa Universalis III Complete;04/02/2009;Paradox Development Studio;Paradox Interactive;"windows;mac";"Single-player;Multi-player;Steam Trading Cards";Strategy;1191;245;736;1065;200000-500000;200000;500000;9.99
25830;Knights of Honor;04/02/2009;Black Sea Studios Ltd;Paradox Interactive;windows;"Single-player;Multi-player";Strategy;1018;89;35;35;100000-200000;100000;200000;7.49
25850;Elven Legacy;07/04/2009;1C:InoCo;1C Entertainment;windows;"Single-player;Multi-player;Steam Cloud;Includes level editor";"RPG;Strategy";76;29;27;27;50000-100000;50000;100000;3.99
25890;Hearts of Iron III;07/08/2009;Paradox Development Studio;Paradox Interactive;"windows;mac";"Single-player;Multi-player;Co-op;Steam Trading Cards";Strategy;3298;992;809;1364;500000-1000000;500000;1000000;7.99
25900;King's Bounty: The Legend;01/05/2009;1C Entertainment;1C Entertainment;"windows;mac";"Single-player;Steam Cloud";"RPG;Strategy";1290;139;356;368;200000-500000;200000;500000;4.99
25910;Supreme Ruler 2020 Gold;09/07/2009;BattleGoat Studios;BattleGoat Studios;windows;"Single-player;Multi-player";Strategy;138;36;400;400;50000-100000;50000;100000;6.99
25930;East India Company;31/07/2009;Nitro Games;Nitro Games;windows;"Single-player;Multi-player";Strategy;45;48;0;0;50000-100000;50000;100000;7.99
25980;Majesty 2;17/09/2009;1C:InoCo;Paradox Interactive;windows;Single-player;"Simulation;Strategy";305;130;0;0;100000-200000;100000;200000;7.99
25990;Majesty Gold HD;04/09/2009;Cyberlore;Paradox Interactive;windows;"Single-player;Multi-player";"Strategy;Simulation";326;20;72;72;100000-200000;100000;200000;7.99
26000;The Maw;09/03/2009;Twisted Pixel Games;Twisted Pixel Games;windows;"Single-player;Steam Achievements";"Action;Indie";161;36;14;14;50000-100000;50000;100000;8.99
26300;Drug Wars;17/03/2009;Paleo Entertainment;Paleo Entertainment;windows;"Single-player;Multi-player";"Action;Indie";13;31;0;0;0-20000;0;20000;3.99
26800;Braid;10/04/2009;Number None;Number None;"windows;mac;linux";"Single-player;Steam Achievements;Full controller support;Steam Cloud";"Casual;Indie;Strategy";6529;386;178;251;1000000-2000000;1000000;2000000;10.99
26900;Crayon Physics Deluxe;06/05/2009;Kloonigames;Kloonigames;"windows;mac";Single-player;"Casual;Indie";668;109;20;26;500000-1000000;500000;1000000;15.99
27000;The Path;18/03/2009;Tale of Tales;Tale of Tales;"windows;mac";"Single-player;Steam Trading Cards";"Adventure;Indie";502;177;49;64;100000-200000;100000;200000;6.99
27020;The Graveyard;09/03/2009;Tale of Tales;Tale of Tales;"windows;mac;linux";Single-player;"Indie;Simulation";305;199;0;0;20000-50000;20000;50000;3.99
27050;Fatale;04/11/2009;Tale of Tales;Tale of Tales;"windows;mac";Single-player;"Adventure;Casual;Indie";53;44;0;0;0-20000;0;20000;4.99
27200;Summer Athletics;02/04/2009;49 Games;DTP Entertainment;windows;"Single-player;Multi-player;Co-op";Sports;14;10;0;0;0-20000;0;20000;15.99
