appid;name;release_date;developer;publisher;platforms;categories;genres;positive_ratings;negative_ratings;average_playtime;median_playtime;owners;min_owners;max_owners;price
215510;Rocketbirds: Hardboiled Chicken;15/10/2012;Ratloop Asia;Reverb Publishing;"windows;mac;linux";"Single-player;Multi-player;Co-op;Online Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Adventure;Indie";2175;571;92;151;200000-500000;200000;500000;3.99
215530;The Incredible Adventures of Van Helsing;22/05/2013;NeocoreGames;NeocoreGames;windows;"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards";"Action;Adventure;Indie;RPG";4993;1064;572;720;500000-1000000;500000;1000000;10.99
215550;Zombie Playground™;31/10/2016;stealth.gg;stealth.gg;"windows;mac";"Single-player;Online Multi-Player;Online Co-op;Full controller support";"Violent;Gore;Action;Adventure;Indie;RPG";155;168;5;5;50000-100000;50000;100000;6.99
215630;Demonicon;24/10/2013;Noumena Studios;Kalypso Media Digital;windows;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Action;Adventure;RPG";492;235;654;654;100000-200000;100000;200000;6.99
215670;Home;31/08/2012;Benjamin Rivers Inc.;Benjamin Rivers Inc.;"windows;mac";"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support";"Adventure;Indie";1069;518;21;21;200000-500000;200000;500000;1.99
215690;Zeno Clash 2;30/04/2013;ACE Team;SEGA;windows;"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards";"Action;Indie";764;256;156;190;200000-500000;200000;500000;10.99
215710; Fieldrunners 2;10/01/2013;Subatomic Studios LLC;Subatomic Studios LLC;windows;Single-player;"Action;Strategy;Casual";268;53;0;0;100000-200000;100000;200000;6.99
215770;Shad'O;04/09/2012;Okugi Studio;Okugi Sudio;windows;"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud";"Action;Indie;Strategy";50;42;58;58;20000-50000;20000;50000;3.99
215790;Dream Pinball 3D;19/09/2012;ASK Homework;Topware Interactive ACE;"windows;mac";"Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Steam Trading Cards;Steam Cloud";"Casual;Simulation";164;379;273;284;200000-500000;200000;500000;4.99
215830;Closers;06/02/2018;Naddic Games;En Masse Entertainment;windows;"Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support";"Action;Free to Play;Massively Multiplayer;RPG";2061;734;194;283;500000-1000000;500000;1000000;0.0
215870;Dungeon-Party;13/03/2013;Cyanide Studio;Bigben Interactive;windows;Multi-player;"Free to Play;Massively Multiplayer";154;231;1;1;200000-500000;200000;500000;0.0
215930;Jagged Alliance 2 - Wildfire;16/11/2012;I-deal Games;Topware Interactive;"windows;mac;linux";"Single-player;Steam Trading Cards;Steam Cloud";"RPG;Strategy";454;180;526;420;200000-500000;200000;500000;4.99
216090;Go Home Dinosaurs!;14/03/2013;Fire Hose Games;Fire hose Games;windows;"Single-player;Steam Achievements;Steam Trading Cards";"Casual;Indie;Strategy";336;20;458;458;20000-50000;20000;50000;6.99
216110;Tiny Troopers;24/08/2012;Kukouri;Iceberg Interactive;"windows;mac";Single-player;"Action;Indie;Strategy";719;183;35;35;100000-200000;100000;200000;3.99
216130;Gemini Wars;02/11/2012;Camel101 LLC;Camel101 LLC;"windows;mac";"Single-player;Multi-player;Steam Achievements;Steam Trading Cards";"Indie;Strategy";30;103;0;0;20000-50000;20000;50000;10.99
216150;MapleStory;09/08/2012;Nexon;Nexon America Inc.;windows;"Single-player;Multi-player;MMO;Co-op;Steam Trading Cards";"Casual;Free to Play;Massively Multiplayer;RPG";3629;1711;71;106;1000000-2000000;1000000;2000000;0.0
216210;Secret Files 3;13/09/2012;Animation Arts;Deep Silver;windows;Single-player;Adventure;55;31;0;0;20000-50000;20000;50000;7.99
216260;Don Bradman Cricket 14;25/06/2014;Big Ant Studios;Big Ant Studios;windows;"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards";"Indie;Simulation;Sports";444;52;0;0;20000-50000;20000;50000;15.49
216290;Gateways;13/09/2012;Smudged Cat Games Ltd;Smudged Cat Games Ltd;"windows;mac;linux";"Single-player;Steam Achievements;Full controller support";Indie;171;12;9;9;50000-100000;50000;100000;3.99
216670;Great Big War Game;28/08/2012;Rubicon Development;Rubicon Development;windows;"Single-player;Multi-player;Cross-Platform Multiplayer";"Indie;Strategy";30;4;0;0;0-20000;0;20000;4.99
216890;Blood Bowl: Chaos Edition;11/10/2012;Cyanide Studios;Focus Home Interactive;windows;"Single-player;Multi-player";"Sports;Strategy";1108;277;342;342;200000-500000;200000;500000;11.99
216910;Of Orcs And Men;11/10/2012;Cyanide Studio - Spiders Studios;Focus Home Interactive;windows;"Single-player;Steam Achievements;Full controller support;Steam Cloud";"Action;RPG";856;333;143;74;200000-500000;200000;500000;10.99
216930;Luxor: Amun Rising HD;03/09/2012;MumboJumbo;MumboJumbo;windows;Single-player;Casual;18;4;0;0;0-20000;0;20000;6.99
217120;Waves 2;16/12/2015;Squid In A Box Ltd;Squid In A Box Ltd;windows;"Single-player;Full controller support;Steam Cloud;Stats;Steam Leaderboards";"Action;Casual;Indie;Early Access";63;8;0;0;0-20000;0;20000;6.99
217140;Rise of the Triad;31/07/2013;Slipgate Ironworks™;Apogee Software;windows;"Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor";Action;1436;673;280;343;200000-500000;200000;500000;10.99
217200;Worms Armageddon;19/03/2013;Team17 Digital Ltd;Team17 Digital Ltd;windows;"Single-player;Multi-player;Co-op;Shared/Split Screen";Strategy;3517;231;246;470;500000-1000000;500000;1000000;10.99
217270;Karateka;03/12/2012;Liquid Entertainment;DotEmu;windows;Single-player;"Action;Indie";127;55;0;0;20000-50000;20000;50000;2.89
217290;Din's Curse;22/08/2012;Soldak Entertainment;Soldak Entertainment;"windows;mac;linux";"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards";"Action;Indie;RPG";142;22;0;0;20000-50000;20000;50000;6.99
217690;Anna - Extended Edition;12/04/2013;Dreampainters;Kalypso Media Digital;"windows;mac;linux";"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud";"Adventure;Indie";878;489;269;269;200000-500000;200000;500000;7.99
217750;Age of Conan: Unchained;22/02/2013;Funcom;Funcom;windows;MMO;"Action;Adventure;Free to Play;Massively Multiplayer;RPG";874;397;148;135;500000-1000000;500000;1000000;0.0
217790;Dogfight 1942;21/09/2012;City Interactive;CI Games;windows;"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support";Simulation;414;165;0;0;100000-200000;100000;200000;6.99
217920;Alien Rage - Unlimited;24/09/2013;CI Games;CI Games;windows;"Single-player;Multi-player;Steam Achievements;Steam Leaderboards";Action;1657;722;317;355;200000-500000;200000;500000;14.99
218020;Nethergate: Resurrection;05/10/2012;Spiderweb Software;Spiderweb Software;windows;Single-player;"Strategy;RPG;Indie";50;8;0;0;50000-100000;50000;100000;3.99
218040;Democracy 2;11/10/2012;Positech Games;Positech Games;"windows;mac";Single-player;"Indie;Simulation;Strategy";50;47;0;0;20000-50000;20000;50000;14.99
218060;BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien;26/02/2013;Gaijin Games;Gaijin Games;"windows;mac;linux";"Single-player;Full controller support;Steam Trading Cards;Steam Cloud";"Action;Indie";2615;221;57;90;500000-1000000;500000;1000000;10.99
218090;Unity of Command: Stalingrad Campaign;17/10/2012;2x2 Games;2x2 Games;"windows;mac;linux";"Single-player;Multi-player";"Indie;Strategy";504;116;8368;8368;100000-200000;100000;200000;14.99
218230;PlanetSide 2;20/11/2012;Daybreak Game Company;Daybreak Game Company;windows;"Multi-player;MMO;Steam Trading Cards";"Action;Free to Play;Massively Multiplayer";35968;7753;1051;150;5000000-10000000;5000000;10000000;0.0
218410;Defender's Quest: Valley of the Forgotten (DX edition);30/10/2012;Level Up Labs, LLC;Level Up Labs;"windows;mac;linux";"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor";"Indie;RPG;Strategy";2688;102;899;1365;200000-500000;200000;500000;10.99
218510;Planets Under Attack;27/09/2012;Targem Games;Topware Interactive;"windows;mac";"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Indie;Strategy";492;191;299;303;500000-1000000;500000;1000000;6.99
218620;PAYDAY 2;13/08/2013;OVERKILL - a Starbreeze Studio.;Starbreeze Publishing AB;"windows;linux";"Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases";"Action;RPG";308657;56523;3975;890;10000000-20000000;10000000;20000000;7.49
218640;Lucius;26/10/2012;Shiver Games;Shiver Games;windows;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Violent;Gore;Action;Adventure;Indie";5775;1400;172;190;500000-1000000;500000;1000000;6.99
218660;iBomber Attack;01/11/2012;Cobra Mobile;Cobra Mobile;"windows;mac;linux";"Single-player;Partial Controller Support;Steam Cloud";"Action;Adventure;Indie";112;30;0;0;50000-100000;50000;100000;4.99
218680;Scribblenauts Unlimited;15/02/2013;5th Cell Media;Warner Bros. Interactive Entertainment;windows;"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud";"Adventure;Casual;Strategy";6661;588;630;390;1000000-2000000;1000000;2000000;14.99
218700;Angelica Weaver: Catch Me When You Can;07/01/2013;MumboJumbo;MumboJumbo;windows;Single-player;"Adventure;Casual";70;28;0;0;20000-50000;20000;50000;9.99
218740;Pid;31/10/2012;Might and Delight;Might and Delight;"windows;mac";"Single-player;Shared/Split Screen;Steam Achievements;Full controller support";"Adventure;Indie";2021;370;61;65;500000-1000000;500000;1000000;6.99
218820;Mercenary Kings: Reloaded Edition;25/03/2014;Tribute Games Inc.;Tribute Games Inc.;"windows;mac;linux";"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Action;Adventure;Indie;RPG";1511;637;348;403;200000-500000;200000;500000;14.99
219070;Miner Wars Arena;28/08/2012;Keen Software House;Keen Software House;"windows;mac";Single-player;"Action;Indie";10;13;0;0;0-20000;0;20000;3.99
219150;Hotline Miami;23/10/2012;Dennaton Games;Devolver Digital;"windows;mac;linux";"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support";"Action;Indie";45809;1211;380;237;2000000-5000000;2000000;5000000;6.99
